"","game_id","team","points","rebounds","assists","blocks","turnovers","steals","threes","winner","pt_dif","pg","sg","sf","pf","c"
"1","71218-kings","kings",60,16,18,1,4,3,4,1,2,"4","5","1","1","5"
"2","71218-kings","warriors",58,21,13,3,13,8,4,0,-2,"2","5","2","2","5"
"3","71418-bucks","bucks",55,16,17,0,12,8,2,0,-6,"4","5","5","5","2"
"4","71418-bucks","pistons",61,15,17,4,13,9,4,1,6,"4","5","2","5","2"
"5","72018-kings","celtics",77,30,28,8,6,4,8,1,5,"4","5","4","5","2"
"6","72018-kings","kings",72,30,21,5,4,4,8,0,-5,"4","5","3","2","5"
"7","72118-mavs","grizz",82,11,17,2,4,6,11,1,5,"2","5","1","5","4"
"8","72118-mavs","mavs",77,15,14,1,6,4,8,0,-5,"2","5","1","5","4"
"9","72218-mavs","blazers",91,32,19,5,4,4,7,1,25,"4","5","4","5","2"
"10","72218-mavs","mavs",66,16,17,3,7,7,8,0,-25,"4","2","3","5","2"
"11","72818-cavs","cavs",55,10,14,5,11,8,3,0,-22,"2","5","1","5","2"
"12","72818-cavs","raptors",77,27,21,2,7,6,7,1,22,"2","5","2","5","2"
"13","72818-kings","blazers",88,33,31,4,10,9,6,1,6,"2","5","1","5","4"
"14","72818-kings","kings",82,30,25,5,9,4,13,0,-6,"2","5","1","5","2"
"15","72818-pistons","jazz",64,21,17,3,9,7,4,0,-10,"4","5","3","2","3"
"16","72818-pistons","pistons",74,20,19,5,7,2,5,1,10,"2","5","2","5","2"
"17","7618-kings","kings",61,17,17,4,8,6,9,0,-3,"2","5","2","5","2"
"18","7618-kings","pistons",64,25,19,2,7,3,8,1,3,"2","5","1","5","2"
"19","7718-knicks","knicks",75,18,24,3,5,4,2,1,5,"4","5","4","5","2"
"20","7718-knicks","sixers",70,15,20,2,7,5,4,0,-5,"2","5","3","2","2"
"21","8318-cavs","cavs",63,16,20,0,3,3,5,0,-9,"4","5","3","1","2"
"22","8318-cavs","celtics",72,25,21,6,8,5,9,1,9,"4","5","1","5","2"
"23","8318-knicks","jazz",87,25,26,2,9,8,4,0,-4,"4","5","4","5","2"
"24","8318-knicks","knicks",91,25,26,3,6,5,6,1,4,"2","5","1","5","4"
"25","8918-heat","heat",80,15,23,2,8,5,9,1,11,"4","2","3","5","2"
"26","8918-heat","kings",69,26,22,2,16,10,6,0,-11,"4","5","2","5","5"
"27","8918-kings","kings",59,18,22,2,11,6,9,0,-27,"2","5","1","5","2"
"28","8918-kings","mavs",86,18,18,2,4,4,10,1,27,"2","5","1","5","2"
"29","8918-pacers","pacers",61,23,12,4,5,3,7,0,-1,"4","5","3","5","2"
"30","8918-pacers","warriors",61,22,13,3,4,2,5,1,1,"4","5","3","5","2"
